tp,tn,fn,fp,se,sp,mcc,acc,auc,F1,BA,prauc,PPV,NPV
16,60,5,2,0.7619047619047619,0.967741935483871,0.7697065499872885,0.9156626506024096,0.9592933947772658,0.8205128205128205,0.8648233486943164,0.9078865011049582,0.8888888888888888,0.9230769230769231
11,64,5,3,0.6875,0.9552238805970149,0.6770695241322245,0.9036144578313253,0.9225746268656717,0.7333333333333334,0.8213619402985075,0.7266806832627117,0.7857142857142857,0.927536231884058
13,61,5,4,0.7222222222222222,0.9384615384615385,0.6746680354945939,0.891566265060241,0.882051282051282,0.7428571428571428,0.8303418803418803,0.574406966853323,0.7647058823529411,0.9242424242424242
13.333333333333334,61.666666666666664,5.0,3.0,0.7238756613756614,0.9538091181808083,0.7071480365380357,0.9036144578313253,0.9213064345647398,0.7655677655677655,0.8388423897782348,0.7363247170736643,0.8131030189853719,0.9249518597344685
13.3333 ± 1.7795,61.6667 ± 1.4720,5.0000 ± 0.0000,3.0000 ± 0.7071,0.7239 ± 0.0263,0.9538 ± 0.0104,0.7071 ± 0.0383,0.9036 ± 0.0085,0.9213 ± 0.0273,0.7656 ± 0.0338,0.8388 ± 0.0162,0.7363 ± 0.1181,0.8131 ± 0.0470,0.9250 ± 0.0016
